Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,What dictates the operations allowed on a value?,3,The length of the code,The CPU architecture,Its data type,The variable name,
MC,,,"Why is <code>""42""</code> different from <code>42</code> in Python?",3,Quotes tell Python to compute it faster,Quotes indicate a floating-point value,"Quotes mean the value is text, not a number",Quotes make the number negative,
MC,,,How does a Python <code>float</code> visually differ from an <code>int</code>?,3,It has a negative sign in front,It requires two assignment operators,It contains a lone decimal point,It is wrapped in quotation marks,
MR,,,Which elements are fundamental characteristics of an algorithm?,"1,2",A single problem can have multiple possible algorithms.,The steps are unambiguous and repeatable.,They must be written exclusively in Python.,They inherently require electronic hardware to run.,
MR,,,Which facts about the assignment operator (=) are correct?,"1,4",The right side computes entirely before storing.,It allows a box to hold two simultaneous values.,It tests whether two numbers are mathematically equal.,Values flow exclusively from right to left.,
MC,,,What symbol is used for the assignment operator?,2,<code><-</code>,<code>=</code>,<code>==</code>,<code>:</code>,
MC,,,"In <code>total = crowns - spent</code>, which part executes first?",3,Python prints the output,<code>Python creates the total variable</code>,<code>Python computes crowns - spent</code>,Python stops the execution,
MC,,,"What type is <code>""Mirabel""</code>?",4,<code>int</code>,<code>bool</code>,<code>float</code>,<code>str</code>,
MC,,,What type is <code>3.14</code>?,2,<code>str</code>,<code>float</code>,<code>bool</code>,<code>int</code>,
MC,,,What type is <code>False</code>?,4,<code>float</code>,<code>int</code>,<code>str</code>,<code>bool</code>,
MC,,,What type is <code>100</code>?,2,<code>str</code>,<code>int</code>,<code>bool</code>,<code>float</code>,
MC,,,What operator computes integer floor division?,2,<code>/</code>,<code>//</code>,<code>**</code>,<code>%</code>,
MC,,,What operator computes the division remainder?,3,<code>/</code>,<code>**</code>,<code>%</code>,<code>//</code>,
MC,,,What built-in function returns the absolute value?,3,<code>max()</code>,<code>round()</code>,<code>abs()</code>,<code>min()</code>,
MC,,,What built-in function finds the largest in a set of numbers?,2,<code>min()</code>,<code>max()</code>,<code>abs()</code>,<code>len()</code>,
MC,,,"If you evaluate <code>10 / 5</code>, what type is returned?",3,<code>int</code>,<code>str</code>,<code>float</code>,<code>bool</code>,
MC,,,What does <code>347 // 100</code> evaluate to?,2,47,3,3.47,300,
MC,,,What does <code>347 % 100</code> evaluate to?,4,3.47,3,0,47,
MC,,,What does a line of code like <code>spent = 70</code> represent?,2,A raw operand,A complete statement,A Boolean condition,A flowchart diamond,
MC,,,"In <code>7 > 3</code>, what are the numbers 7 and 3?",1,Operands,Variables,Statements,Operators,
MC,,,"What will <code>type(""42"")</code> output?",4,<code><class 'float'></code>,<code><class 'bool'></code>,<code><class 'int'></code>,<code><class 'str'></code>,
MC,,,"What does <code>round(3.14159, 2)</code> output?",3,4,3.1,3.14,3,
MC,,,What does <code>abs(-15)</code> evaluate to?,1,15,-15,0,1.5,
MR,,,Which expressions evaluate to integer types?,"3,4",<code>10 / 5</code>,<code>3.0 + 2.0</code>,<code>347 // 100</code>,<code>347 % 100</code>,
MR,,,Which operations will output a float?,"1,4","<code>round(3.14159, 2)</code>",<code>5 % 2</code>,<code>10 // 3</code>,<code>10 / 2</code>,
